"No.","Time","Source","Destination","Protocol","Length","Info"
"753","2.258087","74.125.250.102","192.168.255.117","UDP","104","19305  >  63848 Len=62"
"754","2.260578","192.168.255.117","74.125.250.102","UDP","164","63848  >  19305 Len=122"
"755","2.280038","192.168.255.117","74.125.250.102","UDP","160","63848  >  19305 Len=118"
"756","2.299819","192.168.255.117","74.125.250.102","UDP","159","63848  >  19305 Len=117"
"757","2.309357","192.168.255.117","104.70.235.169","TLSv1.2","164","Application Data"
"758","2.310650","74.125.250.102","192.168.255.117","UDP","104","19305  >  63848 Len=62"
"759","2.320402","192.168.255.117","74.125.250.102","UDP","155","63848  >  19305 Len=113"
"760","2.340186","192.168.255.117","74.125.250.102","UDP","167","63848  >  19305 Len=125"
"761","2.359744","192.168.255.117","74.125.250.102","UDP","163","63848  >  19305 Len=121"
"762","2.363830","74.125.250.102","192.168.255.117","UDP","104","19305  >  63848 Len=62"
"763","2.363914","192.168.255.117","142.251.10.95","UDP","75","64219  >  443 Len=33"
"764","2.377553","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=329972 Ack=1632 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"765","2.377553","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=331352 Ack=1632 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"766","2.377553","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=332732 Ack=1632 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"767","2.377553","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=334112 Ack=1632 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"768","2.377553","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=335492 Ack=1632 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"769","2.377553","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=336872 Ack=1632 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"770","2.377553","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=338252 Ack=1632 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"771","2.377553","104.70.235.169","192.168.255.117","TLSv1.2","533","Application Data"
